,Symbol,Name,Exchange,Quarter,Revenue($mm),EBIT($mm),Debt($mm),Dividend Payout($mm),Operating Margin (%),Leverage (Debt/EBIT),Payout (% of EBIT)
0,APA,Apache Corp,S&P500,2019-03-31,1654.0,910.0,8056.0,-94.0,55.02,2.21,10.33
1,BKR,Baker Hughes,S&P500,2019-03-31,5615.0,547.0,6270.0,-93.0,9.74,2.87,17.0
2,COG,Cabot Oil & Gas Corp,S&P500,2019-03-31,641.68,445.07,1219.34,-29.6,69.36,0.68,6.65
3,COP,Conocophillips,S&P500,2019-03-31,9131.0,4466.0,14153.0,-350.0,48.91,0.79,7.84
4,CVX,Chevron Corp,S&P500,2019-03-31,34427.0,8276.0,25805.0,-2244.0,24.04,0.78,27.11
5,CXO,Concho Resources Inc,S&P500,2019-03-31,1104.0,-377.0,4567.0,-25.0,-34.15,-3.03,-6.63
6,DVN,Devon Energy,S&P500,2018-12-31,2096.0,1574.0,5785.0,-37.0,75.1,0.92,2.35
7,EOG,EOG Resources,S&P500,2018-12-31,3283.97,1092.26,5111.98,-126.97,33.26,1.17,11.62
8,FANG,Diamondback Energy,S&P500,2018-12-31,628.61,472.42,4464.34,130.77,75.15,2.36,-27.68
9,FTI,Technipfmc Plc,S&P500,2019-03-31,2913.0,241.9,3725.0,-116.6,8.3,3.85,48.2
10,HAL,Halliburton Company,S&P500,2019-03-31,5737.0,842.0,10307.0,-157.0,14.68,3.06,18.65
11,HES,Hess Corp,S&P500,2019-03-31,1572.0,765.0,6550.0,-88.0,48.66,2.14,11.5
12,HFC,Hollyfrontier Corp,S&P500,2018-12-31,4344.2,323.18,2411.54,57.62,7.44,1.87,-17.83
13,KMI,Kinder Morgan,S&P500,2019-03-31,3429.0,1792.0,33328.0,-455.0,52.26,4.65,25.39
14,MPC,Marathon Petroleum Corp,S&P500,2018-12-31,32413.0,1916.0,26980.0,282.0,5.91,3.52,-14.72
15,MRO,Marathon Oil Corp,S&P500,2018-12-31,1765.0,467.0,5499.0,-41.0,26.46,2.94,8.78
16,NBL,Noble Energy Inc,S&P500,2018-12-31,1197.0,-654.0,6392.0,-15.0,-54.64,-2.44,-2.29
17,NOV,National-Oilwell,S&P500,2019-03-31,1940.0,117.0,2483.0,-19.0,6.03,5.31,16.24
18,OKE,Oneok Inc,S&P500,2019-03-31,2779.96,644.72,10004.34,-354.2,23.19,3.88,54.94
19,OXY,Occidental Petroleum ,S&P500,2018-12-31,4762.0,677.0,10201.0,-594.0,14.22,3.77,87.74
20,PSX,Phillips 66,S&P500,2019-03-31,23280.0,790.0,11102.0,-364.0,3.39,3.51,46.08
21,PXD,Pioneer Natural Resources Co,S&P500,2018-12-31,2678.0,440.0,2284.0,-28.0,16.43,1.3,6.36
22,SLB,Schlumberger N.V.,S&P500,2019-03-31,7879.0,1559.0,16449.0,-692.0,19.79,2.64,44.39
23,VLO,Valero Energy Corp,S&P500,2019-03-31,24263.0,881.0,9006.0,-375.0,3.63,2.56,42.57
24,WMB,Williams Companies,S&P500,2018-12-31,2204.0,484.0,22367.0,-412.0,21.96,11.55,85.12
25,XOM,Exxon Mobil Corp,S&P500,2019-03-31,61646.0,9041.0,17730.0,-3505.0,14.67,0.49,38.77
26,BEP,Brookfield Renewable Partners,NYSE,2018-12-31,780.0,280.0,10223.0,-96.0,35.9,9.13,34.29
27,AZRE,Azure Power,NYSE,2018-12-31,0.01,0.0,0.19,0.0,0.0,inf,
28,BLDP,Ballard Power Systems,NASDAQ,2018-12-31,28.48,-5.97,,,-20.96,,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2018-12-31,901.04,134.0,393.61,,14.87,0.73,
30,ENPH,Enphase Energy,NASDAQ,2018-12-31,92.29,4.74,81.63,,5.14,4.31,
31,EVA,Enviva,NYSE,2018-12-31,168.67,18.72,429.93,-18.36,11.1,5.74,98.08
32,FSLR,First Solar Holding,NASDAQ,2018-12-31,691.24,59.18,470.43,,8.56,1.99,
33,GPRE,Green Plains Renewable Energy,NASDAQ,2018-12-31,811.13,255.46,298.19,10.34,31.49,0.29,-4.05
34,OPTT,Ocean Power Tech,NASDAQ,2019-01-31,0.27,-3.48,,,-1288.89,,
35,ORA,Ormat Tech,NYSE,2018-12-31,190.46,53.51,41.58,17.28,28.1,0.19,-32.29
36,REGI,Renewable Energy Group,NASDAQ,2018-12-31,515.83,36.73,33.42,,7.12,0.23,
37,SEDG,SolarEdge Tech,NASDAQ,2018-12-31,263.67,25.72,3.51,,9.75,0.03,
38,SPWR,SunPower Corp,NASDAQ,2018-12-30,456.84,-150.31,859.04,-16.5,-32.9,-1.43,-10.98
39,RUN,Sunrun,NASDAQ,2018-12-31,240.12,-6.65,1713.44,,-2.77,-64.42,
40,TERP,Terraform Power,NASDAQ,2018-12-31,213.09,20.3,5226.04,-46.98,9.53,64.36,231.43
41,VSLR,Vivint Solar,NASDAQ,2018-12-31,63.46,-40.02,1214.43,-13.0,-63.06,-7.59,-32.48
0,APA,Apache Corp,S&P500,2018-12-31,1770.0,-251.0,8054.0,-95.0,-14.18,-8.02,-37.85
1,BKR,Baker Hughes,S&P500,2018-12-31,6265.0,514.0,6182.0,-91.0,8.2,3.01,17.7
2,COG,Cabot Oil & Gas Corp,S&P500,2018-12-31,670.24,340.01,1226.1,-30.18,50.73,0.9,8.88
3,COP,Conocophillips,S&P500,2018-12-31,9973.0,2860.0,14158.0,-354.0,28.68,1.24,12.38
4,CVX,Chevron Corp,S&P500,2018-12-31,40338.0,5088.0,28606.0,-2120.0,12.61,1.41,41.67
5,CXO,Concho Resources Inc,S&P500,2018-12-31,1002.0,1856.0,4194.0,-25.0,185.23,0.56,1.35
6,DVN,Devon Energy,S&P500,2018-09-30,2497.0,216.0,5791.0,-38.0,8.65,6.7,17.59
7,EOG,EOG Resources,S&P500,2018-09-30,4717.76,1390.74,5171.95,-107.46,29.48,0.93,7.73
8,FANG,Diamondback Energy,S&P500,2018-09-30,534.35,218.48,2332.36,-12.33,40.89,2.67,5.64
9,FTI,Technipfmc Plc,S&P500,2018-12-31,3323.0,193.9,4124.3,-58.9,5.84,5.32,30.38
10,HAL,Halliburton Company,S&P500,2018-12-31,5936.0,608.0,10421.0,-157.0,10.24,4.28,25.82
11,HES,Hess Corp,S&P500,2018-12-31,1607.0,51.0,6353.0,-83.0,3.17,31.14,162.75
12,HFC,Hollyfrontier Corp,S&P500,2018-09-30,4770.8,504.45,2409.15,58.42,10.57,1.19,-11.58
13,KMI,Kinder Morgan,S&P500,2018-12-31,3781.0,1100.0,34014.0,-494.0,29.09,7.73,44.91
14,MPC,Marathon Petroleum Corp,S&P500,2018-09-30,23035.0,1403.0,18423.0,-207.0,6.09,3.28,14.75
15,MRO,Marathon Oil Corp,S&P500,2018-09-30,1596.0,423.0,5498.0,-43.0,26.5,3.25,10.17
16,NBL,Noble Energy Inc,S&P500,2018-09-30,1273.0,377.0,6381.0,-91.0,29.62,4.23,24.14
17,NOV,National-Oilwell,S&P500,2018-12-31,2398.0,63.0,2704.0,-19.0,2.63,10.73,30.16
18,OKE,Oneok Inc,S&P500,2018-12-31,3136.7,508.0,8957.58,-354.2,16.2,4.41,69.72
19,OXY,Occidental Petroleum ,S&P500,2018-09-30,5216.0,3286.0,10198.0,-595.0,63.0,0.78,18.11
20,PSX,Phillips 66,S&P500,2018-12-31,29098.0,3039.0,10926.0,2651.0,10.44,0.9,-87.23
21,PXD,Pioneer Natural Resources Co,S&P500,2018-09-30,2458.0,529.0,2286.0,-28.0,21.52,1.08,5.29
22,SLB,Schlumberger N.V.,S&P500,2018-12-31,8179.0,960.0,14644.0,-693.0,11.74,3.81,72.19
23,VLO,Valero Energy Corp,S&P500,2018-12-31,27376.0,1336.0,8871.0,-391.0,4.88,1.66,29.27
24,WMB,Williams Companies,S&P500,2018-09-30,2303.0,660.0,21409.0,-607.0,28.66,8.11,91.97
25,XOM,Exxon Mobil Corp,S&P500,2018-12-31,68253.0,8336.0,19235.0,-3502.0,12.21,0.58,42.01
26,BEP,Brookfield Renewable Partners,NYSE,2018-09-30,674.0,203.0,10528.0,-95.0,30.12,12.97,46.8
27,AZRE,Azure Power,NYSE,2018-09-30,30.52,16.6,864.54,0.0,54.39,13.02,-0.0
28,BLDP,Ballard Power Systems,NASDAQ,2018-09-30,21.57,-5.41,5.5,,-25.08,-0.25,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2018-09-30,767.97,95.9,120.16,,12.49,0.31,
30,ENPH,Enphase Energy,NASDAQ,2018-09-30,78.0,-0.75,87.91,0.0,-0.96,-29.3,0.0
31,EVA,Enviva,NYSE,2018-09-30,144.15,22.8,402.45,-18.69,15.82,4.41,81.97
32,FSLR,First Solar Holding,NASDAQ,2018-09-30,676.22,58.48,469.45,0.0,8.65,2.01,-0.0
33,GPRE,Green Plains Renewable Energy,NASDAQ,2018-09-30,1000.1,1.44,767.18,10.34,0.14,133.19,-718.06
34,OPTT,Ocean Power Tech,NASDAQ,2018-10-31,0.14,-3.92,0.0,0.0,-2800.0,-0.0,0.0
35,ORA,Ormat Tech,NYSE,2018-09-30,166.48,30.88,430.32,5.06,18.55,3.48,-16.39
36,REGI,Renewable Energy Group,NASDAQ,2018-09-30,597.75,29.86,34.4,,5.0,0.29,
37,SEDG,SolarEdge Tech,NASDAQ,2018-09-30,236.58,34.06,0.0,0.0,14.4,0.0,-0.0
38,SPWR,SunPower Corp,NASDAQ,2018-09-30,428.26,-86.77,1409.53,0.0,-20.26,-4.06,0.0
39,RUN,Sunrun,NASDAQ,2018-09-30,204.96,-23.55,1537.16,0.0,-11.49,-16.32,0.0
40,TERP,Terraform Power,NASDAQ,2018-09-30,246.04,59.16,5499.73,-39.61,24.04,23.24,66.95
41,VSLR,Vivint Solar,NASDAQ,2018-09-30,77.82,-28.28,1143.96,-13.17,-36.34,-10.11,-46.57
0,APA,Apache Corp,S&P500,2018-09-30,2005.0,605.0,8053.0,-96.0,30.17,3.33,15.87
1,BKR,Baker Hughes,S&P500,,,,,,,,
2,COG,Cabot Oil & Gas Corp,S&P500,2018-09-30,548.71,175.94,1218.85,-26.47,32.06,1.73,15.04
3,COP,Conocophillips,S&P500,2018-09-30,9743.0,3092.0,14902.0,-334.0,31.74,1.2,10.8
4,CVX,Chevron Corp,S&P500,2018-09-30,42105.0,5881.0,29854.0,-2129.0,13.97,1.27,36.2
5,CXO,Concho Resources Inc,S&P500,2018-09-30,1113.0,-222.0,4143.0,-25.0,-19.95,-4.67,-11.26
6,DVN,Devon Energy,S&P500,2018-06-30,2182.0,-395.0,5790.0,-42.0,-18.1,-3.66,-10.63
7,EOG,EOG Resources,S&P500,2018-06-30,8447.04,971.25,5172.26,-106.58,11.5,1.33,10.97
8,FANG,Diamondback Energy,S&P500,2018-06-30,522.92,311.65,1967.07,-12.33,59.6,1.58,3.96
9,FTI,Technipfmc Plc,S&P500,2018-09-30,3143.8,296.1,4017.1,-59.0,9.42,3.39,19.93
10,HAL,Halliburton Company,S&P500,2018-09-30,6172.0,716.0,10424.0,-157.0,11.6,3.64,21.93
11,HES,Hess Corp,S&P500,2018-09-30,1746.0,223.0,6614.0,-86.0,12.77,7.41,38.57
12,HFC,Hollyfrontier Corp,S&P500,2018-06-30,4471.24,506.98,2387.76,58.64,11.34,1.18,-11.57
13,KMI,Kinder Morgan,S&P500,2018-09-30,3517.0,1674.0,35510.0,-483.0,47.6,5.3,28.85
14,MPC,Marathon Petroleum Corp,S&P500,2018-06-30,22362.0,1636.0,17241.0,-211.0,7.32,2.63,12.9
15,MRO,Marathon Oil Corp,S&P500,2018-06-30,1409.0,205.0,5497.0,-43.0,14.55,6.7,20.98
16,NBL,Noble Energy Inc,S&P500,2018-06-30,1277.0,83.0,6361.0,-54.0,6.5,19.16,65.06
17,NOV,National-Oilwell,S&P500,2018-09-30,2154.0,57.0,2706.0,-19.0,2.65,11.87,33.33
18,OKE,Oneok Inc,S&P500,2018-09-30,3393.89,495.37,8325.71,-339.58,14.6,4.2,68.55
19,OXY,Occidental Petroleum ,S&P500,2018-06-30,4083.0,1623.0,10312.0,-593.0,39.75,1.59,36.54
20,PSX,Phillips 66,S&P500,2018-09-30,29788.0,2100.0,11021.0,-420.0,7.05,1.31,20.0
21,PXD,Pioneer Natural Resources Co,S&P500,2018-06-30,2111.0,114.0,2285.0,-27.0,5.4,5.01,23.68
22,SLB,Schlumberger N.V.,S&P500,2018-09-30,8504.0,898.0,14159.0,-692.0,10.56,3.94,77.06
23,VLO,Valero Energy Corp,S&P500,2018-09-30,29511.0,1213.0,8877.0,-341.0,4.11,1.83,28.11
24,WMB,Williams Companies,S&P500,2018-06-30,2091.0,596.0,21313.0,-473.0,28.5,8.94,79.36
25,XOM,Exxon Mobil Corp,S&P500,2018-09-30,74187.0,9280.0,19275.0,-3503.0,12.51,0.52,37.75
26,BEP,Brookfield Renewable Partners,NYSE,2018-06-30,735.0,261.0,10045.0,-97.0,35.51,9.62,37.16
27,AZRE,Azure Power,NYSE,2018-06-30,35.25,20.4,863.51,0.0,57.87,10.58,-0.0
28,BLDP,Ballard Power Systems,NASDAQ,2018-06-30,26.44,-3.2,5.57,,-12.1,-0.44,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2018-06-30,650.59,53.94,221.35,,8.29,1.03,
30,ENPH,Enphase Energy,NASDAQ,2018-06-30,75.9,-1.13,33.56,0.0,-1.49,-7.42,0.0
31,EVA,Enviva,NYSE,2018-06-30,135.12,12.59,422.37,-18.62,9.32,8.39,147.9
32,FSLR,First Solar Holding,NASDAQ,2018-06-30,309.32,-48.59,456.55,0.0,-15.71,-2.35,0.0
33,GPRE,Green Plains Renewable Energy,NASDAQ,2018-06-30,986.84,11.76,768.11,10.33,1.19,16.33,-87.84
34,OPTT,Ocean Power Tech,NASDAQ,2018-07-31,0.03,-3.31,0.0,0.0,-11033.33,-0.0,0.0
35,ORA,Ormat Tech,NYSE,2018-06-30,178.3,47.61,391.05,28.34,26.7,2.05,-59.53
36,REGI,Renewable Energy Group,NASDAQ,2018-06-30,580.15,42.61,31.01,0.0,7.34,0.18,-0.0
37,SEDG,SolarEdge Tech,NASDAQ,2018-06-30,227.12,40.66,0.0,0.0,17.9,0.0,-0.0
38,SPWR,SunPower Corp,NASDAQ,2018-06-30,449.1,-454.04,1281.2,0.0,-101.1,-0.71,0.0
39,RUN,Sunrun,NASDAQ,2018-06-30,170.54,-34.97,1474.48,0.0,-20.51,-10.54,0.0
40,TERP,Terraform Power,NASDAQ,2018-06-30,179.89,27.71,5595.3,-28.01,15.4,50.48,101.08
41,VSLR,Vivint Solar,NASDAQ,2018-06-30,80.8,-12.0,1114.41,-10.44,-14.85,-23.22,-87.0
0,APA,Apache Corp,S&P500,2018-06-30,1950.0,612.0,7937.0,-96.0,31.38,3.24,15.69
1,BKR,Baker Hughes,S&P500,,,,,,,,
2,COG,Cabot Oil & Gas Corp,S&P500,2018-06-30,457.12,77.49,1218.57,-27.07,16.95,3.93,34.93
3,COP,Conocophillips,S&P500,2018-06-30,8769.0,2796.0,14885.0,-337.0,31.89,1.33,12.05
4,CVX,Chevron Corp,S&P500,2018-06-30,40491.0,5122.0,29779.0,-2129.0,12.65,1.45,41.57
5,CXO,Concho Resources Inc,S&P500,2018-06-30,881.0,211.0,2371.0,-25.0,23.95,2.81,11.85
6,DVN,Devon Energy,S&P500,2018-03-31,3810.0,269.0,9628.0,-32.0,7.06,8.95,11.9
7,EOG,EOG Resources,S&P500,2018-03-31,7330.7,889.56,6071.6,-97.03,12.13,1.71,10.91
8,FANG,Diamondback Energy,S&P500,2018-03-31,478.15,235.3,1701.91,-18.74,49.21,1.81,7.96
9,FTI,Technipfmc Plc,S&P500,2018-06-30,2960.9,203.7,3787.5,-120.2,6.88,4.65,59.01
10,HAL,Halliburton Company,S&P500,2018-06-30,6147.0,789.0,10427.0,-158.0,12.84,3.3,20.03
11,HES,Hess Corp,S&P500,2018-06-30,1492.0,125.0,6357.0,-87.0,8.38,12.71,69.6
12,HFC,Hollyfrontier Corp,S&P500,2018-03-31,4128.43,399.45,2382.87,58.86,9.68,1.49,-14.74
13,KMI,Kinder Morgan,S&P500,2018-06-30,3428.0,340.0,35561.0,-481.0,9.92,26.15,141.47
14,MPC,Marathon Petroleum Corp,S&P500,2018-03-31,18896.0,440.0,17232.0,-219.0,2.33,9.79,49.77
15,MRO,Marathon Oil Corp,S&P500,2018-03-31,1733.0,572.0,5495.0,-42.0,33.01,2.4,7.34
16,NBL,Noble Energy Inc,S&P500,2018-03-31,1239.0,616.0,6655.0,-48.0,49.72,2.7,7.79
17,NOV,National-Oilwell,S&P500,2018-06-30,2106.0,52.0,2707.0,-19.0,2.47,13.01,36.54
18,OKE,Oneok Inc,S&P500,2018-06-30,2960.53,448.27,7096.54,-327.08,15.14,3.96,72.96
19,OXY,Occidental Petroleum ,S&P500,2018-03-31,3763.0,1452.0,10309.0,-592.0,38.59,1.77,40.77
20,PSX,Phillips 66,S&P500,2018-06-30,28980.0,1970.0,11023.0,-423.0,6.8,1.4,21.47
21,PXD,Pioneer Natural Resources Co,S&P500,2018-03-31,2341.0,249.0,2284.0,-27.0,10.64,2.29,10.84
22,SLB,Schlumberger N.V.,S&P500,2018-06-30,8303.0,835.0,13865.0,-693.0,10.06,4.15,82.99
23,VLO,Valero Energy Corp,S&P500,2018-06-30,29545.0,1264.0,8876.0,-384.0,4.28,1.76,30.38
24,WMB,Williams Companies,S&P500,2018-03-31,2088.0,598.0,21379.0,-446.0,28.64,8.94,74.58
25,XOM,Exxon Mobil Corp,S&P500,2018-06-30,71456.0,6659.0,19282.0,-3502.0,9.32,0.72,52.59
26,BEP,Brookfield Renewable Partners,NYSE,2018-03-31,793.0,303.0,10201.0,-168.0,38.21,8.42,55.45
27,AZRE,Azure Power,NYSE,2018-03-31,34.68,18.55,802.01,0.0,53.49,10.81,-0.0
28,BLDP,Ballard Power Systems,NASDAQ,2018-03-31,20.09,-6.04,5.89,,-30.06,-0.24,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2018-03-31,1424.91,43.34,328.12,,3.04,1.89,
30,ENPH,Enphase Energy,NASDAQ,2018-03-31,69.97,-2.48,36.46,0.0,-3.54,-3.68,0.0
31,EVA,Enviva,NYSE,2018-03-31,125.8,-10.69,393.69,-17.85,-8.5,-9.21,-166.98
32,FSLR,First Solar Holding,NASDAQ,2018-03-31,567.26,99.76,438.35,0.0,17.59,1.1,-0.0
33,GPRE,Green Plains Renewable Energy,NASDAQ,2018-03-31,1045.29,-3.29,767.78,10.25,-0.31,-58.34,311.55
34,OPTT,Ocean Power Tech,NASDAQ,2018-04-30,0.22,-3.29,0.0,0.0,-1495.45,-0.0,0.0
35,ORA,Ormat Tech,NYSE,2018-03-31,184.02,61.66,46.51,-11.64,33.51,0.19,18.88
36,REGI,Renewable Energy Group,NASDAQ,2018-03-31,689.25,211.32,213.08,0.0,30.66,0.25,-0.0
37,SEDG,SolarEdge Tech,NASDAQ,2018-03-31,209.87,40.83,0.0,0.0,19.45,0.0,-0.0
38,SPWR,SunPower Corp,NASDAQ,2018-03-31,391.89,-119.86,1248.75,-5.42,-30.59,-2.6,-4.52
39,RUN,Sunrun,NASDAQ,2018-03-31,144.36,-56.71,1356.18,0.0,-39.28,-5.98,0.0
40,TERP,Terraform Power,NASDAQ,2018-03-31,127.55,-23.79,3205.77,-28.01,-18.65,-33.69,-117.74
41,VSLR,Vivint Solar,NASDAQ,2018-03-31,68.25,-28.08,959.19,-18.12,-41.14,-8.54,-64.53
0,APA,Apache Corp,S&P500,2018-03-31,1740.0,480.0,7936.0,-95.0,27.59,4.13,19.79
1,BKR,Baker Hughes,S&P500,,,,,,,,
2,COG,Cabot Oil & Gas Corp,S&P500,2018-03-31,473.23,176.93,1218.23,-27.65,37.39,1.72,15.63
3,COP,Conocophillips,S&P500,2018-03-31,9006.0,1960.0,16709.0,-338.0,21.76,2.13,17.24
4,CVX,Chevron Corp,S&P500,2018-03-31,35968.0,5232.0,31144.0,-2124.0,14.55,1.49,40.6
5,CXO,Concho Resources Inc,S&P500,2018-03-31,883.0,1119.0,2370.0,0.0,126.73,0.53,-0.0
6,DVN,Devon Energy,S&P500,2017-12-31,3983.0,-428.0,10291.0,215.0,-10.75,-6.01,50.23
7,EOG,EOG Resources,S&P500,2017-12-31,648.6,476.68,6030.84,-97.27,73.49,3.16,20.41
8,FANG,Diamondback Energy,S&P500,2017-12-31,399.19,116.54,1477.35,-13.73,29.19,3.17,11.78
9,FTI,Technipfmc Plc,S&P500,2018-03-31,3125.2,256.4,3735.8,-120.2,8.2,3.64,46.88
10,HAL,Halliburton Company,S&P500,2018-03-31,5740.0,329.0,10428.0,-158.0,5.73,7.92,48.02
11,HES,Hess Corp,S&P500,2018-03-31,1346.0,111.0,6372.0,-89.0,8.25,14.35,80.18
12,HFC,Hollyfrontier Corp,S&P500,2017-12-31,3992.7,452.6,2498.99,58.99,11.34,1.38,-13.03
13,KMI,Kinder Morgan,S&P500,2018-03-31,3418.0,1173.0,35543.0,-316.0,34.32,7.58,26.94
14,MPC,Marathon Petroleum Corp,S&P500,2017-12-31,21135.0,1119.0,12322.0,310.0,5.29,2.75,-27.7
15,MRO,Marathon Oil Corp,S&P500,2017-12-31,1382.0,203.0,5494.0,-42.0,14.69,6.77,20.69
16,NBL,Noble Energy Inc,S&P500,2017-12-31,1142.0,375.0,6746.0,-49.0,32.84,4.5,13.07
17,NOV,National-Oilwell,S&P500,2018-03-31,1795.0,-39.0,2707.0,-19.0,-2.17,-17.35,-48.72
18,OKE,Oneok Inc,S&P500,2018-03-31,3102.08,419.61,7102.92,-316.41,13.53,4.23,75.41
19,OXY,Occidental Petroleum ,S&P500,2017-12-31,3492.0,-549.0,9328.0,-2346.0,-15.72,-4.25,-427.32
20,PSX,Phillips 66,S&P500,2018-03-31,23595.0,840.0,11579.0,-372.0,3.56,3.45,44.29
21,PXD,Pioneer Natural Resources Co,S&P500,2017-12-31,897.0,97.0,2283.0,-7.0,10.81,5.88,7.22
22,SLB,Schlumberger N.V.,S&P500,2018-03-31,7829.0,744.0,13526.0,-692.0,9.5,4.55,93.01
23,VLO,Valero Energy Corp,S&P500,2018-03-31,24975.0,811.0,8086.0,-345.0,3.25,2.49,42.54
24,WMB,Williams Companies,S&P500,2017-12-31,2228.0,-213.0,20434.0,-434.0,-9.56,-23.98,-203.76
25,XOM,Exxon Mobil Corp,S&P500,2018-03-31,65436.0,7444.0,20781.0,-3291.0,11.38,0.7,44.21
26,BEP,Brookfield Renewable Partners,NYSE,2017-12-31,657.0,861.0,10090.0,-617.0,131.05,2.93,71.66
27,AZRE,Azure Power,NYSE,2017-12-31,28.56,1898.29,811.4,,6646.67,0.11,
28,BLDP,Ballard Power Systems,NASDAQ,2017-12-31,40.26,5.41,6.23,,13.44,0.29,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2017-12-31,1108.76,411.61,574.19,-9.58,37.12,0.35,2.33
30,ENPH,Enphase Energy,NASDAQ,2017-12-31,79.67,-1.93,32.32,0.0,-2.42,-4.19,0.0
31,EVA,Enviva,NYSE,2017-12-31,161.01,10.36,394.83,-120.25,6.43,9.53,1160.71
32,FSLR,First Solar Holding,NASDAQ,2017-12-31,339.18,-27.62,410.29,0.0,-8.14,-3.71,0.0
33,GPRE,Green Plains Renewable Energy,NASDAQ,2017-12-31,920.98,7.96,767.4,10.12,0.86,24.1,-127.14
34,OPTT,Ocean Power Tech,NASDAQ,2018-01-31,0.09,-3.05,0.0,0.0,-3388.89,-0.0,0.0
35,ORA,Ormat Tech,NYSE,2017-12-31,166.36,52.74,804.29,55.96,31.7,3.81,-106.11
36,REGI,Renewable Energy Group,NASDAQ,2017-12-31,577.26,-45.38,208.54,0.0,-7.86,-1.15,0.0
37,SEDG,SolarEdge Tech,NASDAQ,2017-12-31,189.34,90.51,0.0,0.0,47.8,0.0,-0.0
38,SPWR,SunPower Corp,NASDAQ,2017-12-31,658.1,-727.74,1247.09,0.0,-110.58,-0.43,0.0
39,RUN,Sunrun,NASDAQ,2017-12-31,146.44,-149.95,1417.35,0.0,-102.4,-2.36,0.0
40,TERP,Terraform Power,NASDAQ,2017-12-31,135.54,-103.9,3195.31,-285.5,-76.66,-7.69,-274.78
41,VSLR,Vivint Solar,NASDAQ,2017-12-31,66.78,-26.03,928.43,-13.52,-38.98,-8.92,-51.94
